Saliency,Remaining,Accuracy,Epochs
1.52587890625e-05,51.3351,92.69,100
3.0517578125e-05,43.6059,93.69,200
6.103515625e-05,38.0584,93.54,300
0.0001220703125,33.7181,93.77,400
0.000244140625,29.9085,93.46,500
0.00048828125,25.8618,93.61,600
0.0009765625,19.8557,93.56,700
0.001953125,13.8964,94.02,800
0.00390625,11.2391,93.74,900
0.0078125,9.3572,93.9,1000
0.015625,8.0056,93.96,1100
0.03125,6.8699,93.79,1200
0.0625,5.858,93.62,1300
0.125,4.9107,93.67,1400
0.25,4.0134,93.7,1500
0.5,3.1517,93.4,1600
1,2.3489,93.86,1700
2,1.65,93.68,1800
4,1.1092,93.49,1900
8,0.7301,93.07,2000
16,0.4759,91.79,2100
32,0.2988,90.38,2200
64,0.1694,86.65,2300
128,0.083,80.23,2400
256,0.0333,67.42,2500
