Saliency,Remaining,Accuracy,Epochs
1.52587890625e-05,94.3321,92.28,50
3.0517578125e-05,81.5331,93.06,100
6.103515625e-05,70.6341,93.58,150
0.0001220703125,62.0184,93.06,200
0.000244140625,54.9844,93.39,250
0.00048828125,48.8147,92.13,300
0.0009765625,42.4573,93.38,350
0.001953125,33.3109,93.44,400
0.00390625,23.731,93.72,450
0.0078125,18.7938,93.63,500
0.015625,15.3721,92.97,550
0.03125,12.7543,93.19,600
0.0625,10.5206,93.65,650
0.125,8.526,93.83,700
0.25,6.7211,93.47,750
0.5,5.0679,93.87,800
1,3.5987,93.71,850
2,2.3919,93.68,900
4,1.5101,93.54,950
8,0.9394,92.53,1000
16,0.5813,92.09,1050
32,0.3555,91.03,1100
64,0.2052,87.96,1150
