Saliency,Remaining,Accuracy,Epochs
1.52587890625e-05,99.9998,93.02,100
3.0517578125e-05,99.9996,93.27,200
6.103515625e-05,99.9995,92.93,300
0.0001220703125,99.9995,92.36,400
0.000244140625,99.9994,92.66,500
0.00048828125,99.9993,93.02,600
0.0009765625,99.9993,92.64,700
0.001953125,99.9992,93.38,800
0.00390625,99.9991,92.42,900
0.0078125,99.999,92.8,1000
0.015625,99.9989,93.25,1100
0.03125,99.9988,93.09,1200
0.0625,99.9988,92.31,1300
0.125,99.9987,92.94,1400
0.25,99.9986,93.01,1500
0.5,99.9985,93.2,1600
1,99.9984,92.53,1700
2,99.9982,93.03,1800
4,99.998,93.06,1900
8,99.9977,92.83,2000
16,99.9971,92.97,2100
