Epoch,Saliency,Remaining,Accuracy
1,0.0001676040410529822,90.0,92.16
8,0.00027960623265244067,81.0,92.32
15,0.0003942933399230242,72.9,91.53
22,0.0005043832352384925,65.61,92.06
28,0.0006319996900856495,59.049,92.31
35,0.0007421259651891887,53.1441,92.48
42,0.0008610125514678657,47.8297,92.67
49,0.0009863813174888492,43.0467,92.85
56,0.0011162037262693048,38.7421,91.48
63,0.0012557456502690911,34.8679,92.75
70,0.0014113084180280566,31.3811,93.18
76,0.0016058983746916056,28.243,93.38
83,0.001747566624544561,25.4187,92.65
90,0.0019090898567810655,22.8768,93.03
97,0.002077462850138545,20.5891,92.77
104,0.0022540418431162834,18.5302,93.25
111,0.0024293686728924513,16.6772,92.79
118,0.00263019441626966,15.0095,93.58
125,0.002826190087944269,13.5085,93.21
131,0.003127206116914749,12.1577,93.64
138,0.003289918415248394,10.9419,93.34
145,0.0035064839757978916,9.8477,92.82
152,0.0037021138705313206,8.863,93.2
159,0.0039459834806621075,7.9767,93.24
166,0.004183925688266754,7.179,93.98
173,0.004443393554538488,6.4611,93.55
179,0.00485527329146862,5.815,93.51
186,0.005056808236986399,5.2335,93.61
193,0.0052746376022696495,4.7101,93.29
200,0.005612475331872702,4.2391,93.55
207,0.005949226673692465,3.8152,93.31
214,0.006262792740017176,3.4337,93.44
221,0.006644124630838633,3.0903,92.96
227,0.007268919609487057,2.7813,93.43
234,0.00752290990203619,2.5032,93.14
241,0.007839547470211983,2.2529,92.95
248,0.008387976326048374,2.0276,93.53
255,0.008945408277213573,1.8248,93.44
262,0.009560614824295044,1.6423,92.78
269,0.010183862410485744,1.4781,93.06
275,0.01112634688615799,1.3303,92.79
282,0.01162404753267765,1.1973,93.17
289,0.012527475133538246,1.0775,92.85
296,0.013327972032129765,0.9698,93.05
303,0.01444819662719965,0.8728,92.53
310,0.015696842223405838,0.7855,92.14
317,0.01703939586877823,0.707,92.55
324,0.018261348828673363,0.6363,92.23
330,0.020222105085849762,0.5727,92.08
337,0.021412303671240807,0.5154,92.07
344,0.02326390892267227,0.4639,91.65
351,0.02492266707122326,0.4175,91.82
358,0.027126166969537735,0.3757,91.34
365,0.02895829826593399,0.3382,90.41
372,0.03125260770320892,0.3043,89.75
378,0.03386100009083748,0.2739,89.88
385,0.03571154922246933,0.2465,89.7
392,0.03722551092505455,0.2219,89.15
399,0.038992393761873245,0.1997,88.59
