Epoch,Saliency,Remaining_Percentage,Accuracy
2,2.6622022839672124e-20,99.8193,92.7300
5,1.660956170693818e-17,99.2470,92.3300
7,9.086217716403446e-16,98.4940,92.4900
10,1.741599858849207e-14,97.7410,92.8000
12,6.496618699817006e-14,96.9880,92.7700
15,1.2302230631769384e-13,96.2349,92.9300
17,1.873226373278955e-13,95.4819,92.6300
20,2.600317693373516e-13,94.7289,93.0700
23,3.359415068175664e-13,93.9759,92.2200
25,4.083346887614331e-13,93.2229,92.5500
28,4.843471001873823e-13,92.4699,91.6200
30,5.408680231119845e-13,91.7169,92.5800
33,6.349514013528901e-13,90.9639,92.2100
35,7.435180943149433e-13,90.2108,92.0900
38,8.386995525161423e-13,89.4578,92.6800
41,9.211215774504455e-13,88.7048,91.0600
43,9.942002733229205e-13,87.9518,92.8100
46,1.1001189108988951e-12,87.1988,92.2200
48,1.200779601619184e-12,86.4458,92.5700
51,1.2827337933160599e-12,85.6928,92.6900
53,1.4126899519975589e-12,84.9398,92.2700
56,1.5228155108432118e-12,84.1867,91.5100
58,1.7036365807659992e-12,83.4337,92.2000
61,1.912711091942021e-12,82.6807,92.8100
64,2.1391963721251184e-12,81.9277,92.3900
66,2.3633944194051404e-12,81.1747,91.5400
69,2.566274233048449e-12,80.4217,92.2100
71,2.964188573414961e-12,79.6687,92.2900
74,3.2605871128077446e-12,78.9157,91.9000
76,3.632810632175909e-12,78.1627,90.1400
79,4.087715842898687e-12,77.4096,92.3300
82,4.427124465633536e-12,76.6566,92.4200
84,4.9583809280662194e-12,75.9036,92.0100
87,5.4925725426202554e-12,75.1506,92.2600
89,5.929573672347477e-12,74.3976,91.9000
92,6.513651163581047e-12,73.6446,91.5200
94,7.408830493549345e-12,72.8916,91.7300
97,8.38625089510936e-12,72.1386,92.1700
100,9.226283799457224e-12,71.3855,92.6800
102,1.0541567618815861e-11,70.6325,91.5300
105,1.1784352139943e-11,69.8795,91.9700
107,1.4306079758330537e-11,69.1265,92.2100
110,1.6818350531688786e-11,68.3735,92.2200
112,1.9653105531869386e-11,67.6205,91.6700
115,2.247612165828805e-11,66.8675,91.4600
117,2.559914780153605e-11,66.1145,91.9000
120,3.025239087017795e-11,65.3614,91.6700
123,3.523375688430086e-11,64.6084,92.4400
125,4.0820413022002455e-11,63.8554,93.0400
128,4.95133170574924e-11,63.1024,92.2500
130,5.679901687871691e-11,62.3494,91.7600
133,6.582923095521664e-11,61.5964,93.1600
135,7.559616821417592e-11,60.8434,93.1400
138,8.473642620909771e-11,60.0904,91.0400
141,9.706535575304542e-11,59.3373,91.9800
143,1.0586356097297411e-10,58.5843,91.8200
146,1.1729404947313782e-10,57.8313,91.6300
148,1.2921939906984647e-10,57.0783,91.2000
151,1.4255427394083142e-10,56.3253,92.3900
153,1.5544446285709057e-10,55.5723,92.0400
156,1.6649862044637587e-10,54.8193,92.1000
158,1.769275281837679e-10,54.0663,91.5400
161,1.8960438774584532e-10,53.3133,92.9000
164,2.0426570157550117e-10,52.5602,91.1700
166,2.2150641043605646e-10,51.8072,90.9100
169,2.3732055209890746e-10,51.0542,91.7900
171,2.5354277011224724e-10,50.3012,91.9500
174,2.6588750645650805e-10,49.5482,92.1100
176,2.850015501376646e-10,48.7952,92.4400
179,3.0715507914891305e-10,48.0422,91.7100
