Epoch,Saliency,Remaining,Accuracy
7,2.478973406758178e-12,90.0000,92.1200
11,7.846620922458136e-12,81.0015,92.6100
15,2.1806280739444794e-11,72.9029,92.4200
19,6.302278837688746e-11,65.6137,90.5800
23,1.338090888092225e-10,59.0550,92.4800
26,2.1645726877572713e-10,53.1514,91.6400
30,3.0808083861799673e-10,47.8389,92.1300
34,4.097366057553842e-10,43.0572,91.6000
38,5.200379016301326e-10,38.7538,90.7900
42,6.54768905761216e-10,34.8795,90.3100
46,8.071069368398298e-10,31.3931,91.2300
50,9.852284543754308e-10,28.2568,89.8900
53,1.1938822153112483e-09,25.4330,91.7500
57,1.4560238570382467e-09,22.8916,90.2500
61,1.7430914489580118e-09,20.6024,91.4500
65,2.068930582410644e-09,18.5429,89.0600
69,2.462359871557851e-09,16.6905,90.0800
73,2.9554256819608327e-09,15.0226,88.9600
76,3.4922380542923293e-09,13.5203,88.3300
80,4.09218481323137e-09,12.1687,90.2400
84,4.85912199366112e-09,10.9526,86.5700
88,5.854103868330185e-09,9.8607,87.8800
92,6.868060342668514e-09,8.8780,89.5600
96,8.113692828715102e-09,7.9932,89.8600
100,9.480563001318387e-09,7.1950,88.0200
103,1.1200367744379491e-08,6.4759,87.4900
107,1.3680882204880618e-08,5.8283,87.0000
111,1.6457228468880203e-08,5.2485,86.1600
115,2.015665145904677e-08,4.7252,85.6800
119,2.4170695667180553e-08,4.2545,82.6300
123,2.980052471457384e-08,3.8291,85.0800
126,3.5518560537184385e-08,3.4488,82.9500
130,4.200904513140813e-08,3.1062,83.8500
134,4.910393869295149e-08,2.7974,80.6700
138,5.755657994654939e-08,2.5188,76.4800
142,6.722062551034469e-08,2.2703,69.0300
