Epoch,Saliency,Remaining,Accuracy
1,0.000167163074365817,90.0,91.09
7,0.00028364273020997643,81.0,92.51
14,0.00039472710341215134,72.9,92.38
20,0.0005178147694095969,65.61,92.28
27,0.0006212070002220571,59.049,92.83
33,0.0007535823388025165,53.1441,92.71
39,0.000888663693331182,47.8297,93.23
46,0.0010021222988143563,43.0467,92.76
52,0.0011510056210681796,38.7421,91.71
58,0.001310437684878707,34.8679,93.1
65,0.001440810738131404,31.3811,92.61
71,0.0016309753991663456,28.243,93.1
78,0.0017637652345001698,25.4187,92.78
84,0.001976166618987918,22.8768,92.72
90,0.0021755399648100138,20.5891,93.06
97,0.002304459223523736,18.5302,93.08
103,0.002544400282204151,16.6772,92.57
110,0.0026981548871845007,15.0095,93.09
116,0.002954712137579918,13.5085,93.47
122,0.0032182831782847643,12.1577,93.1
129,0.003320026444271207,10.9419,93.13
135,0.0036468037869781256,9.8477,93.84
141,0.003926541190594435,8.863,92.7
148,0.004034597426652908,7.9767,92.93
154,0.004376784432679415,7.179,93.61
161,0.0045674568973481655,6.4611,93.05
167,0.0049128844402730465,5.815,93.55
173,0.005206479225307703,5.2335,93.05
180,0.005471597891300917,4.7101,93.57
186,0.0058554294519126415,4.2391,92.83
193,0.006020415108650923,3.8152,93.03
199,0.006509988568723202,3.4337,93.8
205,0.006973737850785255,3.0903,92.85
212,0.007151617202907801,2.7813,93.19
218,0.00781584344804287,2.5032,93.54
224,0.008356834761798382,2.2529,93.13
231,0.0084892762824893,2.0276,92.99
237,0.00931198988109827,1.8248,93.38
244,0.009593965485692024,1.6423,92.62
250,0.010588286444544792,1.4781,92.64
256,0.011332412250339985,1.3303,92.95
263,0.011818351224064827,1.1973,93.06
269,0.012965002097189426,1.0775,92.67
276,0.013660823926329613,0.9698,92.41
282,0.015011231414973736,0.8728,92.25
288,0.016382496803998947,0.7855,93.02
295,0.017223356291651726,0.707,91.74
301,0.019120877608656883,0.6363,92.18
307,0.020614981651306152,0.5727,91.92
314,0.021736007183790207,0.5154,91.58
320,0.02374766767024994,0.4639,91.78
327,0.025026965886354446,0.4175,91.12
333,0.027750583365559578,0.3757,90.86
339,0.02981046959757805,0.3382,90.56
346,0.031090745702385902,0.3043,91.0
352,0.03356010466814041,0.2739,90.27
359,0.03519246354699135,0.2465,89.94
365,0.03769109025597572,0.2219,89.92
371,0.03993668034672737,0.1997,88.74
378,0.04089200496673584,0.1797,88.66
384,0.043312348425388336,0.1617,87.62
390,0.04548095166683197,0.1456,86.51
397,0.04652571678161621,0.131,85.97
403,0.04942891746759415,0.1179,85.46
410,0.049848154187202454,0.1061,84.04
416,0.03761213645339012,0.0955,56.41
422,0.043924059718847275,0.086,61.74
429,0.04585940018296242,0.0774,52.82
435,0.04866407439112663,0.0696,66.24
442,0.05112380161881447,0.0627,63.55
448,0.05455863103270531,0.0564,10.0
454,0.05746975541114807,0.0508,64.83
461,0.06349053978919983,0.0457,50.72
467,0.06850727647542953,0.0411,43.01
473,0.07213903963565826,0.037,35.92
480,0.07240840047597885,0.0333,10.0
486,0.07311397045850754,0.03,18.33
493,0.07162896543741226,0.027,10.0
499,0.08310510963201523,0.0243,10.0
