Epoch,Saliency,Remaining,Accuracy
19,5.5453804742588986e-11,65.6137,91.5600
23,1.1862073823198926e-10,59.0550,92.2000
26,1.9752451063670406e-10,53.1514,88.9100
30,2.8986144040565875e-10,47.8389,91.9300
34,3.91816246114729e-10,43.0572,91.0300
38,5.055377227947133e-10,38.7538,90.9200
42,6.3404670402889e-10,34.8795,88.9600
46,7.769560550485721e-10,31.3931,90.3700
50,9.64355817423268e-10,28.2568,90.9500
53,1.1811445155274214e-09,25.4330,91.4900
57,1.4522519853343852e-09,22.8916,90.9000
61,1.7410672903395152e-09,20.6024,90.1900
65,2.0895465357995135e-09,18.5429,91.1800
69,2.512790420183819e-09,16.6905,90.5200
73,2.9900733000687296e-09,15.0226,89.2600
76,3.5708185297522732e-09,13.5203,89.9000
80,4.271609288508671e-09,12.1687,90.4200
84,5.119572765721614e-09,10.9526,90.1500
88,6.096443794234574e-09,9.8607,88.4800
92,7.362531029286856e-09,8.8780,89.6600
96,8.223655534322916e-09,7.9932,89.4000
100,9.135077583266593e-09,7.1950,83.6400
103,1.0742733813629002e-08,6.4759,88.6000
107,1.215878953075844e-08,5.8283,85.9300
111,1.4703990913744747e-08,5.2485,81.8900
115,1.793527637516945e-08,4.7252,83.9200
119,2.0833276437315362e-08,4.2545,84.9400
123,2.5071200226989276e-08,3.8291,81.4500
126,3.0435970188591455e-08,3.4488,78.5700
130,3.7423486531906747e-08,3.1062,81.2800
134,4.6091439998008354e-08,2.7974,78.0100
138,5.197229313580465e-08,2.5188,74.5000
142,5.794440838258197e-08,2.2703,68.2700
146,6.7391610514278e-08,2.0444,73.1800
150,8.265762119208375e-08,1.8411,72.3400
153,9.556303837143787e-08,1.6604,69.3600
157,1.1495174589981616e-07,1.4947,70.0400
161,1.4037190965154878e-07,1.3479,66.9100
165,1.4874791531838127e-07,1.2161,33.4200
169,1.7377672634211194e-07,1.0956,36.2100
173,1.9490424563173292e-07,0.9676,25.9200
176,2.336224014243271e-07,0.8735,33.0800
180,2.917522863299382e-07,0.7756,29.4600
184,3.470269689387351e-07,0.6589,30.8200
188,4.274275795523863e-07,0.5986,30.1800
192,4.674227795931074e-07,0.5271,31.9600
196,5.024146503274096e-07,0.4593,29.9000
200,4.96067855237925e-07,0.3991,24.8400
