Epoch,Saliency,Remaining,Accuracy
1,0.0014512119814753532,90.0,72.852
8,0.0011508309980854392,81.0,67.388
15,0.001181981642730534,72.9,68.244
22,0.0012992324773222208,65.61,67.244
29,0.0014357673935592175,59.049,67.462
36,0.0015899909194558859,53.1441,67.948
43,0.001763302250765264,47.8297,65.586
50,0.0019550465513020754,43.0467,69.056
56,0.00219896761700511,38.7421,68.858
63,0.002425727667286992,34.8679,67.208
70,0.0026865440886467695,31.3811,68.882
77,0.0029945988208055496,28.243,67.69
84,0.0033363376278430223,25.4187,69.676
91,0.003695182967931032,22.8768,68.528
98,0.004101157188415527,20.5891,66.88
105,0.00453362800180912,18.5302,69.562
112,0.004988975822925568,16.6772,69.772
119,0.005460729822516441,15.0095,68.312
126,0.005969129968434572,13.5085,70.052
133,0.006487199570983648,12.1577,66.824
140,0.00700482539832592,10.9419,69.2
147,0.007584985811263323,9.8477,69.29
153,0.008259390480816364,8.863,66.61
160,0.008796950802206993,7.9767,68.218
167,0.009448545053601265,7.179,69.072
174,0.010132363997399807,6.4611,67.912
181,0.01082485169172287,5.815,66.412
188,0.011603215709328651,5.2335,63.768
195,0.012389698065817356,4.7101,66.102
202,0.013214190490543842,4.2391,65.232
209,0.014085274189710617,3.8152,64.786
216,0.01491538342088461,3.4337,65.18
223,0.01585002802312374,3.0903,63.654
230,0.016798844560980797,2.7813,64.158
237,0.01778111793100834,2.5032,62.532
244,0.018857063725590706,2.2528,61.428
250,0.020049387589097023,2.0276,59.724
257,0.021017396822571754,1.8248,58.64
264,0.022169290110468864,1.6423,58.806
271,0.023374363780021667,1.4781,59.174
