"epoch","tough-oath-133 - _step","tough-oath-133 - _step__MIN","tough-oath-133 - _step__MAX","tough-oath-133 - sparsity","tough-oath-133 - sparsity__MIN","tough-oath-133 - sparsity__MAX"
"1","0","0","0","100","100","100"
"2","1","1","1","99.9999","99.9999","99.9999"
"3","2","2","2","99.5951","99.5951","99.5951"
"4","3","3","3","95.8833","95.8833","95.8833"
"5","4","4","4","88.1938","88.1938","88.1938"
"6","5","5","5","77.4811","77.4811","77.4811"
"7","6","6","6","65.0038","65.0038","65.0038"
"8","7","7","7","51.867","51.867","51.867"
"9","8","8","8","39.1452","39.1452","39.1452"
"10","9","9","9","31.1465","31.1465","31.1465"
"11","10","10","10","26.2299","26.2299","26.2299"
"12","11","11","11","23.1566","23.1566","23.1566"
"13","12","12","12","21.2171","21.2171","21.2171"
"14","13","13","13","20.0337","20.0337","20.0337"
"15","14","14","14","19.3947","19.3947","19.3947"
"16","15","15","15","19.1751","19.1751","19.1751"
"17","16","16","16","19.2369","19.2369","19.2369"
"18","17","17","17","19.2754","19.2754","19.2754"
"19","18","18","18","19.2927","19.2927","19.2927"
"20","19","19","19","19.2969","19.2969","19.2969"
"21","20","20","20","19.152","19.152","19.152"
"22","21","21","21","18.766","18.766","18.766"
"23","22","22","22","18.1516","18.1516","18.1516"
"24","23","23","23","17.3262","17.3262","17.3262"
"25","24","24","24","16.3048","16.3048","16.3048"
"26","25","25","25","15.0468","15.0468","15.0468"
"27","26","26","26","13.6472","13.6472","13.6472"
"28","27","27","27","12.2124","12.2124","12.2124"
"29","28","28","28","10.8052","10.8052","10.8052"
"30","29","29","29","9.4347","9.4347","9.4347"
"31","30","30","30","8.1491","8.1491","8.1491"
"32","31","31","31","6.989","6.989","6.989"
"33","32","32","32","6.1646","6.1646","6.1646"
"34","33","33","33","5.5676","5.5676","5.5676"
"35","34","34","34","5.1181","5.1181","5.1181"
"36","35","35","35","4.7748","4.7748","4.7748"
"37","36","36","36","4.5136","4.5136","4.5136"
"38","37","37","37","4.318","4.318","4.318"
"39","38","38","38","4.1752","4.1752","4.1752"
"40","39","39","39","4.0812","4.0812","4.0812"
"41","40","40","40","4.0294","4.0294","4.0294"
"42","41","41","41","4.0233","4.0233","4.0233"
"43","42","42","42","4.0566","4.0566","4.0566"
"44","43","43","43","4.0517","4.0517","4.0517"
"45","44","44","44","4.0135","4.0135","4.0135"
"46","45","45","45","3.946","3.946","3.946"
"47","46","46","46","3.8509","3.8509","3.8509"
"48","47","47","47","3.7274","3.7274","3.7274"
"49","48","48","48","3.5878","3.5878","3.5878"
"50","49","49","49","3.4357","3.4357","3.4357"
"51","50","50","50","3.2726","3.2726","3.2726"
"52","51","51","51","3.1046","3.1046","3.1046"
"53","52","52","52","2.9287","2.9287","2.9287"
"54","53","53","53","2.7556","2.7556","2.7556"
"55","54","54","54","2.5786","2.5786","2.5786"
