"epoch","deep-feather-131 - _step","deep-feather-131 - _step__MIN","deep-feather-131 - _step__MAX","deep-feather-131 - sparsity","deep-feather-131 - sparsity__MIN","deep-feather-131 - sparsity__MAX"
"1","0","0","0","100","100","100"
"2","1","1","1","99.9999","99.9999","99.9999"
"3","2","2","2","99.623","99.623","99.623"
"4","3","3","3","95.9965","95.9965","95.9965"
"5","4","4","4","88.3504","88.3504","88.3504"
"6","5","5","5","77.6035","77.6035","77.6035"
"7","6","6","6","64.9997","64.9997","64.9997"
"8","7","7","7","51.7247","51.7247","51.7247"
"9","8","8","8","38.9641","38.9641","38.9641"
"10","9","9","9","31.0155","31.0155","31.0155"
"11","10","10","10","26.1199","26.1199","26.1199"
"12","11","11","11","23.0741","23.0741","23.0741"
"13","12","12","12","21.1694","21.1694","21.1694"
"14","13","13","13","20.0026","20.0026","20.0026"
"15","14","14","14","19.363","19.363","19.363"
"16","15","15","15","19.1397","19.1397","19.1397"
"17","16","16","16","19.2107","19.2107","19.2107"
"18","17","17","17","19.2447","19.2447","19.2447"
"19","18","18","18","19.265","19.265","19.265"
"20","19","19","19","19.2703","19.2703","19.2703"
"21","20","20","20","19.1267","19.1267","19.1267"
"22","21","21","21","18.7473","18.7473","18.7473"
"23","22","22","22","18.1284","18.1284","18.1284"
"24","23","23","23","17.3083","17.3083","17.3083"
"25","24","24","24","16.3059","16.3059","16.3059"
"26","25","25","25","15.0904","15.0904","15.0904"
"27","26","26","26","13.721","13.721","13.721"
"28","27","27","27","12.284","12.284","12.284"
"29","28","28","28","10.8573","10.8573","10.8573"
"30","29","29","29","9.4762","9.4762","9.4762"
"31","30","30","30","8.1817","8.1817","8.1817"
"32","31","31","31","7.0129","7.0129","7.0129"
"33","32","32","32","6.1836","6.1836","6.1836"
"34","33","33","33","5.5827","5.5827","5.5827"
"35","34","34","34","5.1299","5.1299","5.1299"
"36","35","35","35","4.7855","4.7855","4.7855"
"37","36","36","36","4.5241","4.5241","4.5241"
"38","37","37","37","4.3246","4.3246","4.3246"
"39","38","38","38","4.1835","4.1835","4.1835"
"40","39","39","39","4.0888","4.0888","4.0888"
"41","40","40","40","4.0402","4.0402","4.0402"
"42","41","41","41","4.0296","4.0296","4.0296"
"43","42","42","42","4.0641","4.0641","4.0641"
"44","43","43","43","4.059","4.059","4.059"
"45","44","44","44","4.0242","4.0242","4.0242"
"46","45","45","45","3.9552","3.9552","3.9552"
"47","46","46","46","3.8608","3.8608","3.8608"
"48","47","47","47","3.7358","3.7358","3.7358"
"49","48","48","48","3.5974","3.5974","3.5974"
"50","49","49","49","3.4459","3.4459","3.4459"
"51","50","50","50","3.2837","3.2837","3.2837"
"52","51","51","51","3.1127","3.1127","3.1127"
"53","52","52","52","2.9391","2.9391","2.9391"
"54","53","53","53","2.7633","2.7633","2.7633"
"55","54","54","54","2.586","2.586","2.586"
"56","55","55","55","2.4107","2.4107","2.4107"
