"epoch","fiery-oath-129 - _step","fiery-oath-129 - _step__MIN","fiery-oath-129 - _step__MAX","fiery-oath-129 - sparsity","fiery-oath-129 - sparsity__MIN","fiery-oath-129 - sparsity__MAX"
"1","0","0","0","100","100","100"
"2","1","1","1","100","100","100"
"3","2","2","2","99.6215","99.6215","99.6215"
"4","3","3","3","96.0202","96.0202","96.0202"
"5","4","4","4","88.4387","88.4387","88.4387"
"6","5","5","5","77.8041","77.8041","77.8041"
"7","6","6","6","65.1293","65.1293","65.1293"
"8","7","7","7","51.7771","51.7771","51.7771"
"9","8","8","8","39.0887","39.0887","39.0887"
"10","9","9","9","31.1177","31.1177","31.1177"
"11","10","10","10","26.2013","26.2013","26.2013"
"12","11","11","11","23.117","23.117","23.117"
"13","12","12","12","21.1776","21.1776","21.1776"
"14","13","13","13","19.9915","19.9915","19.9915"
"15","14","14","14","19.3508","19.3508","19.3508"
"16","15","15","15","19.1296","19.1296","19.1296"
"17","16","16","16","19.193","19.193","19.193"
"18","17","17","17","19.2264","19.2264","19.2264"
"19","18","18","18","19.248","19.248","19.248"
"20","19","19","19","19.2594","19.2594","19.2594"
"21","20","20","20","19.1104","19.1104","19.1104"
"22","21","21","21","18.7311","18.7311","18.7311"
"23","22","22","22","18.1077","18.1077","18.1077"
"24","23","23","23","17.2833","17.2833","17.2833"
"25","24","24","24","16.2747","16.2747","16.2747"
"26","25","25","25","15.0706","15.0706","15.0706"
"27","26","26","26","13.6911","13.6911","13.6911"
"28","27","27","27","12.2231","12.2231","12.2231"
"29","28","28","28","10.7824","10.7824","10.7824"
"30","29","29","29","9.4114","9.4114","9.4114"
"31","30","30","30","8.1361","8.1361","8.1361"
"32","31","31","31","6.9719","6.9719","6.9719"
"33","32","32","32","6.1466","6.1466","6.1466"
"34","33","33","33","5.5476","5.5476","5.5476"
"35","34","34","34","5.1022","5.1022","5.1022"
"36","35","35","35","4.7621","4.7621","4.7621"
"37","36","36","36","4.5005","4.5005","4.5005"
"38","37","37","37","4.3073","4.3073","4.3073"
"39","38","38","38","4.1668","4.1668","4.1668"
"40","39","39","39","4.0722","4.0722","4.0722"
"41","40","40","40","4.0212","4.0212","4.0212"
"42","41","41","41","4.0138","4.0138","4.0138"
"43","42","42","42","4.0458","4.0458","4.0458"
"44","43","43","43","4.0443","4.0443","4.0443"
"45","44","44","44","4.0099","4.0099","4.0099"
"46","45","45","45","3.9412","3.9412","3.9412"
"47","46","46","46","3.8474","3.8474","3.8474"
"48","47","47","47","3.7258","3.7258","3.7258"
"49","48","48","48","3.5865","3.5865","3.5865"
"50","49","49","49","3.4342","3.4342","3.4342"
"51","50","50","50","3.2739","3.2739","3.2739"
"52","51","51","51","3.1062","3.1062","3.1062"
"53","52","52","52","2.9332","2.9332","2.9332"
"54","53","53","53","2.7606","2.7606","2.7606"
"55","54","54","54","2.585","2.585","2.585"
"56","55","55","55","2.4108","2.4108","2.4108"
"57","56","56","56","2.2423","2.2423","2.2423"
"58","57","57","57","2.0754","2.0754","2.0754"
"59","58","58","58","1.9173","1.9173","1.9173"
"60","59","59","59","1.7643","1.7643","1.7643"
"61","60","60","60","1.6463","1.6463","1.6463"
"62","61","61","61","1.5509","1.5509","1.5509"
"63","62","62","62","1.4706","1.4706","1.4706"
"64","63","63","63","1.4067","1.4067","1.4067"
"65","64","64","64","1.352","1.352","1.352"
"66","65","65","65","1.3062","1.3062","1.3062"
"67","66","66","66","1.271","1.271","1.271"
"68","67","67","67","1.2426","1.2426","1.2426"
"69","68","68","68","1.2213","1.2213","1.2213"
"70","69","69","69","1.206","1.206","1.206"
"71","70","70","70","1.1989","1.1989","1.1989"
"72","71","71","71","1.1988","1.1988","1.1988"
"73","72","72","72","1.2023","1.2023","1.2023"
"74","73","73","73","1.2147","1.2147","1.2147"
"75","74","74","74","1.2344","1.2344","1.2344"
"76","75","75","75","1.2595","1.2595","1.2595"
"77","76","76","76","1.2736","1.2736","1.2736"
"78","77","77","77","1.2809","1.2809","1.2809"
"79","78","78","78","1.2819","1.2819","1.2819"
"80","79","79","79","1.2767","1.2767","1.2767"
"81","80","80","80","1.2658","1.2658","1.2658"
"82","81","81","81","1.2521","1.2521","1.2521"
"83","82","82","82","1.2316","1.2316","1.2316"
"84","83","83","83","1.2068","1.2068","1.2068"
"85","84","84","84","1.1763","1.1763","1.1763"
"86","85","85","85","1.145","1.145","1.145"
"87","86","86","86","1.1107","1.1107","1.1107"
"88","87","87","87","1.0758","1.0758","1.0758"
"89","88","88","88","1.0533","1.0533","1.0533"
"90","89","89","89","1.0343","1.0343","1.0343"
"91","90","90","90","1.0219","1.0219","1.0219"
"92","91","91","91","1.0132","1.0132","1.0132"
"93","92","92","92","1.0074","1.0074","1.0074"
"94","93","93","93","1.0053","1.0053","1.0053"
"95","94","94","94","1.0061","1.0061","1.0061"
"96","95","95","95","1.0098","1.0098","1.0098"
"97","96","96","96","1.018","1.018","1.018"
"98","97","97","97","1.019","1.019","1.019"
"99","98","98","98","1.0152","1.0152","1.0152"
"100","99","99","99","1.0103","1.0103","1.0103"
"101","100","100","100","1.0006","1.0006","1.0006"
"102","101","101","101","2.2008","2.2008","2.2008"
"103","102","102","102","2.5568","2.5568","2.5568"
"104","103","103","103","2.7467","2.7467","2.7467"
"105","104","104","104","2.8624","2.8624","2.8624"
"106","105","105","105","2.9341","2.9341","2.9341"
"107","106","106","106","2.9862","2.9862","2.9862"
"108","107","107","107","3.0207","3.0207","3.0207"
"109","108","108","108","3.0472","3.0472","3.0472"
"110","109","109","109","3.0654","3.0654","3.0654"
"111","110","110","110","3.0786","3.0786","3.0786"
"112","111","111","111","3.0882","3.0882","3.0882"
"113","112","112","112","3.0963","3.0963","3.0963"
"114","113","113","113","3.1019","3.1019","3.1019"
"115","114","114","114","3.1057","3.1057","3.1057"
"116","115","115","115","3.1099","3.1099","3.1099"
"117","116","116","116","3.1124","3.1124","3.1124"
"118","117","117","117","3.1155","3.1155","3.1155"
"119","118","118","118","3.1166","3.1166","3.1166"
"120","119","119","119","3.118","3.118","3.118"
"121","120","120","120","3.1188","3.1188","3.1188"
"122","121","121","121","3.1196","3.1196","3.1196"
"123","122","122","122","3.1202","3.1202","3.1202"
"124","123","123","123","3.1211","3.1211","3.1211"
"125","124","124","124","3.1216","3.1216","3.1216"
"126","125","125","125","3.122","3.122","3.122"
"127","126","126","126","3.1222","3.1222","3.1222"
"128","127","127","127","3.1222","3.1222","3.1222"
"129","128","128","128","3.1228","3.1228","3.1228"
"130","129","129","129","3.1229","3.1229","3.1229"
"131","130","130","130","3.123","3.123","3.123"
"132","131","131","131","3.1234","3.1234","3.1234"
"133","132","132","132","3.1234","3.1234","3.1234"
"134","133","133","133","3.1234","3.1234","3.1234"
"135","134","134","134","3.1235","3.1235","3.1235"
"136","135","135","135","3.1237","3.1237","3.1237"
"137","136","136","136","3.1237","3.1237","3.1237"
"138","137","137","137","3.1238","3.1238","3.1238"
"139","138","138","138","3.1239","3.1239","3.1239"
"140","139","139","139","3.1239","3.1239","3.1239"
"141","140","140","140","3.124","3.124","3.124"
"142","141","141","141","3.124","3.124","3.124"
"143","142","142","142","3.1241","3.1241","3.1241"
"144","143","143","143","3.1242","3.1242","3.1242"
"145","144","144","144","3.1241","3.1241","3.1241"
"146","145","145","145","3.124","3.124","3.124"
"147","146","146","146","3.124","3.124","3.124"
"148","147","147","147","3.1241","3.1241","3.1241"
"149","148","148","148","3.1241","3.1241","3.1241"
"150","149","149","149","3.124","3.124","3.124"
"151","150","150","150","3.124","3.124","3.124"
"152","151","151","151","3.124","3.124","3.124"
"153","152","152","152","3.124","3.124","3.124"
"154","153","153","153","3.124","3.124","3.124"
"155","154","154","154","3.124","3.124","3.124"
"156","155","155","155","3.124","3.124","3.124"
"157","156","156","156","3.124","3.124","3.124"
"158","157","157","157","3.124","3.124","3.124"
"159","158","158","158","3.124","3.124","3.124"
"160","159","159","159","3.124","3.124","3.124"
