"epoch","devout-river-164 - _step","devout-river-164 - _step__MIN","devout-river-164 - _step__MAX","devout-river-164 - sparsity","devout-river-164 - sparsity__MIN","devout-river-164 - sparsity__MAX"
"1","0","0","0","100","100","100"
"2","1","1","1","100","100","100"
"3","2","2","2","86.7865","86.7865","86.7865"
"4","3","3","3","60.3018","60.3018","60.3018"
"5","4","4","4","53.3477","53.3477","53.3477"
"6","5","5","5","51.0789","51.0789","51.0789"
"7","6","6","6","50.9335","50.9335","50.9335"
"8","7","7","7","50.795","50.795","50.795"
"9","8","8","8","49.5272","49.5272","49.5272"
"10","9","9","9","46.5843","46.5843","46.5843"
"11","10","10","10","41.6428","41.6428","41.6428"
"12","11","11","11","35.6076","35.6076","35.6076"
"13","12","12","12","29.4822","29.4822","29.4822"
"14","13","13","13","26.0027","26.0027","26.0027"
"15","14","14","14","23.966","23.966","23.966"
"16","15","15","15","22.8553","22.8553","22.8553"
"17","16","16","16","22.3872","22.3872","22.3872"
"18","17","17","17","22.3401","22.3401","22.3401"
"19","18","18","18","22.0894","22.0894","22.0894"
"20","19","19","19","21.5201","21.5201","21.5201"
"21","20","20","20","20.6121","20.6121","20.6121"
"22","21","21","21","19.2779","19.2779","19.2779"
"23","22","22","22","17.5072","17.5072","17.5072"
"24","23","23","23","15.3654","15.3654","15.3654"
"25","24","24","24","13.046","13.046","13.046"
"26","25","25","25","10.7517","10.7517","10.7517"
"27","26","26","26","9.1938","9.1938","9.1938"
"28","27","27","27","8.1408","8.1408","8.1408"
"29","28","28","28","7.4261","7.4261","7.4261"
"30","29","29","29","6.9478","6.9478","6.9478"
"31","30","30","30","6.6419","6.6419","6.6419"
"32","31","31","31","6.4702","6.4702","6.4702"
"33","32","32","32","6.4107","6.4107","6.4107"
"34","33","33","33","6.4258","6.4258","6.4258"
"35","34","34","34","6.4278","6.4278","6.4278"
"36","35","35","35","6.3955","6.3955","6.3955"
"37","36","36","36","6.3014","6.3014","6.3014"
"38","37","37","37","6.147","6.147","6.147"
"39","38","38","38","5.938","5.938","5.938"
"40","39","39","39","5.6817","5.6817","5.6817"
"41","40","40","40","5.3749","5.3749","5.3749"
"42","41","41","41","5.0136","5.0136","5.0136"
"43","42","42","42","4.5961","4.5961","4.5961"
"44","43","43","43","4.136","4.136","4.136"
"45","44","44","44","3.6576","3.6576","3.6576"
"46","45","45","45","3.1903","3.1903","3.1903"
"47","46","46","46","2.8408","2.8408","2.8408"
"48","47","47","47","2.5805","2.5805","2.5805"
"49","48","48","48","2.3828","2.3828","2.3828"
"50","49","49","49","2.236","2.236","2.236"
"51","50","50","50","2.124","2.124","2.124"
"52","51","51","51","2.0409","2.0409","2.0409"
"53","52","52","52","1.9824","1.9824","1.9824"
"54","53","53","53","1.946","1.946","1.946"
"55","54","54","54","1.9267","1.9267","1.9267"
"56","55","55","55","1.9258","1.9258","1.9258"
"57","56","56","56","1.9358","1.9358","1.9358"
"58","57","57","57","1.9429","1.9429","1.9429"
"59","58","58","58","1.9462","1.9462","1.9462"
"60","59","59","59","1.9414","1.9414","1.9414"
"61","60","60","60","1.9275","1.9275","1.9275"
"62","61","61","61","1.9009","1.9009","1.9009"
"63","62","62","62","1.8606","1.8606","1.8606"
"64","63","63","63","1.8132","1.8132","1.8132"
"65","64","64","64","1.7589","1.7589","1.7589"
"66","65","65","65","1.6993","1.6993","1.6993"
"67","66","66","66","1.6326","1.6326","1.6326"
"68","67","67","67","1.5615","1.5615","1.5615"
"69","68","68","68","1.4853","1.4853","1.4853"
"70","69","69","69","1.4031","1.4031","1.4031"
"71","70","70","70","1.3362","1.3362","1.3362"
"72","71","71","71","1.2801","1.2801","1.2801"
"73","72","72","72","1.2334","1.2334","1.2334"
"74","73","73","73","1.1958","1.1958","1.1958"
"75","74","74","74","1.1653","1.1653","1.1653"
"76","75","75","75","1.1413","1.1413","1.1413"
"77","76","76","76","1.1246","1.1246","1.1246"
"78","77","77","77","1.1134","1.1134","1.1134"
"79","78","78","78","1.1078","1.1078","1.1078"
"80","79","79","79","1.1087","1.1087","1.1087"
"81","80","80","80","1.1111","1.1111","1.1111"
"82","81","81","81","1.1124","1.1124","1.1124"
"83","82","82","82","1.1114","1.1114","1.1114"
"84","83","83","83","1.1093","1.1093","1.1093"
"85","84","84","84","1.1074","1.1074","1.1074"
"86","85","85","85","1.1042","1.1042","1.1042"
"87","86","86","86","1.1025","1.1025","1.1025"
"88","87","87","87","1.0968","1.0968","1.0968"
"89","88","88","88","1.0865","1.0865","1.0865"
"90","89","89","89","1.0739","1.0739","1.0739"
"91","90","90","90","1.0586","1.0586","1.0586"
"92","91","91","91","1.0407","1.0407","1.0407"
"93","92","92","92","1.0289","1.0289","1.0289"
"94","93","93","93","1.0212","1.0212","1.0212"
"95","94","94","94","1.0157","1.0157","1.0157"
"96","95","95","95","1.0133","1.0133","1.0133"
"97","96","96","96","1.0127","1.0127","1.0127"
"98","97","97","97","1.0102","1.0102","1.0102"
"99","98","98","98","1.0079","1.0079","1.0079"
"100","99","99","99","1.004","1.004","1.004"
"101","100","100","100","0.9959","0.9959","0.9959"
"102","101","101","101","1.0225","1.0225","1.0225"
"103","102","102","102","1.007","1.007","1.007"
"104","103","103","103","0.997","0.997","0.997"
"105","104","104","104","0.9879","0.9879","0.9879"
"106","105","105","105","0.979","0.979","0.979"
"107","106","106","106","0.9728","0.9728","0.9728"
"108","107","107","107","0.9674","0.9674","0.9674"
"109","108","108","108","0.963","0.963","0.963"
"110","109","109","109","0.9594","0.9594","0.9594"
"111","110","110","110","0.9561","0.9561","0.9561"
"112","111","111","111","0.9542","0.9542","0.9542"
"113","112","112","112","0.9523","0.9523","0.9523"
"114","113","113","113","0.9503","0.9503","0.9503"
"115","114","114","114","0.9496","0.9496","0.9496"
"116","115","115","115","0.9484","0.9484","0.9484"
"117","116","116","116","0.9476","0.9476","0.9476"
"118","117","117","117","0.9466","0.9466","0.9466"
"119","118","118","118","0.9459","0.9459","0.9459"
"120","119","119","119","0.9457","0.9457","0.9457"
"121","120","120","120","0.9454","0.9454","0.9454"
"122","121","121","121","0.9452","0.9452","0.9452"
"123","122","122","122","0.945","0.945","0.945"
"124","123","123","123","0.9449","0.9449","0.9449"
"125","124","124","124","0.9447","0.9447","0.9447"
"126","125","125","125","0.9446","0.9446","0.9446"
"127","126","126","126","0.9446","0.9446","0.9446"
"128","127","127","127","0.9446","0.9446","0.9446"
"129","128","128","128","0.9445","0.9445","0.9445"
"130","129","129","129","0.9445","0.9445","0.9445"
"131","130","130","130","0.9445","0.9445","0.9445"
"132","131","131","131","0.9445","0.9445","0.9445"
"133","132","132","132","0.9445","0.9445","0.9445"
"134","133","133","133","0.9445","0.9445","0.9445"
"135","134","134","134","0.9445","0.9445","0.9445"
"136","135","135","135","0.9445","0.9445","0.9445"
"137","136","136","136","0.9445","0.9445","0.9445"
"138","137","137","137","0.9445","0.9445","0.9445"
"139","138","138","138","0.9445","0.9445","0.9445"
"140","139","139","139","0.9445","0.9445","0.9445"
"141","140","140","140","0.9445","0.9445","0.9445"
"142","141","141","141","0.9445","0.9445","0.9445"
"143","142","142","142","0.9445","0.9445","0.9445"
"144","143","143","143","0.9445","0.9445","0.9445"
"145","144","144","144","0.9445","0.9445","0.9445"
"146","145","145","145","0.9445","0.9445","0.9445"
"147","146","146","146","0.9445","0.9445","0.9445"
"148","147","147","147","0.9445","0.9445","0.9445"
"149","148","148","148","0.9445","0.9445","0.9445"
"150","149","149","149","0.9445","0.9445","0.9445"
"151","150","150","150","0.9445","0.9445","0.9445"
"152","151","151","151","0.9445","0.9445","0.9445"
"153","152","152","152","0.9445","0.9445","0.9445"
"154","153","153","153","0.9445","0.9445","0.9445"
"155","154","154","154","0.9445","0.9445","0.9445"
"156","155","155","155","0.9445","0.9445","0.9445"
"157","156","156","156","0.9445","0.9445","0.9445"
"158","157","157","157","0.9445","0.9445","0.9445"
"159","158","158","158","0.9445","0.9445","0.9445"
"160","159","159","159","0.9445","0.9445","0.9445"
