"epoch","serene-breeze-160 - _step","serene-breeze-160 - _step__MIN","serene-breeze-160 - _step__MAX","serene-breeze-160 - sparsity","serene-breeze-160 - sparsity__MIN","serene-breeze-160 - sparsity__MAX"
"1","0","0","0","100","100","100"
"2","1","1","1","100","100","100"
"3","2","2","2","86.8145","86.8145","86.8145"
"4","3","3","3","60.0778","60.0778","60.0778"
"5","4","4","4","53.0119","53.0119","53.0119"
"6","5","5","5","50.7321","50.7321","50.7321"
"7","6","6","6","50.6328","50.6328","50.6328"
"8","7","7","7","50.5458","50.5458","50.5458"
"9","8","8","8","49.2813","49.2813","49.2813"
"10","9","9","9","46.1459","46.1459","46.1459"
"11","10","10","10","40.8902","40.8902","40.8902"
"12","11","11","11","34.5138","34.5138","34.5138"
"13","12","12","12","31.0964","31.0964","31.0964"
"14","13","13","13","29.346","29.346","29.346"
"15","14","14","14","28.6655","28.6655","28.6655"
"16","15","15","15","27.5086","27.5086","27.5086"
"17","16","16","16","25.7232","25.7232","25.7232"
"18","17","17","17","23.2868","23.2868","23.2868"
"19","18","18","18","20.3522","20.3522","20.3522"
"20","19","19","19","17.161","17.161","17.161"
"21","20","20","20","15.1502","15.1502","15.1502"
"22","21","21","21","13.8651","13.8651","13.8651"
"23","22","22","22","13.0792","13.0792","13.0792"
"24","23","23","23","12.6747","12.6747","12.6747"
"25","24","24","24","12.5613","12.5613","12.5613"
"26","25","25","25","12.3147","12.3147","12.3147"
"27","26","26","26","11.893","11.893","11.893"
"28","27","27","27","11.28","11.28","11.28"
"29","28","28","28","10.4627","10.4627","10.4627"
"30","29","29","29","9.4854","9.4854","9.4854"
"31","30","30","30","8.3997","8.3997","8.3997"
"32","31","31","31","7.2427","7.2427","7.2427"
"33","32","32","32","6.4254","6.4254","6.4254"
"34","33","33","33","5.8793","5.8793","5.8793"
"35","34","34","34","5.5086","5.5086","5.5086"
"36","35","35","35","5.2629","5.2629","5.2629"
"37","36","36","36","5.1141","5.1141","5.1141"
"38","37","37","37","5.0509","5.0509","5.0509"
"39","38","38","38","5.0558","5.0558","5.0558"
"40","39","39","39","5.0266","5.0266","5.0266"
"41","40","40","40","4.9532","4.9532","4.9532"
"42","41","41","41","4.8253","4.8253","4.8253"
"43","42","42","42","4.6403","4.6403","4.6403"
"44","43","43","43","4.4069","4.4069","4.4069"
"45","44","44","44","4.1341","4.1341","4.1341"
"46","45","45","45","3.8185","3.8185","3.8185"
"47","46","46","46","3.4766","3.4766","3.4766"
"48","47","47","47","3.1195","3.1195","3.1195"
"49","48","48","48","2.7616","2.7616","2.7616"
"50","49","49","49","2.5103","2.5103","2.5103"
"51","50","50","50","2.3231","2.3231","2.3231"
"52","51","51","51","2.1848","2.1848","2.1848"
"53","52","52","52","2.0813","2.0813","2.0813"
"54","53","53","53","2.0065","2.0065","2.0065"
"55","54","54","54","1.9532","1.9532","1.9532"
"56","55","55","55","1.9201","1.9201","1.9201"
"57","56","56","56","1.9087","1.9087","1.9087"
"58","57","57","57","1.9135","1.9135","1.9135"
"59","58","58","58","1.929","1.929","1.929"
"60","59","59","59","1.9389","1.9389","1.9389"
"61","60","60","60","1.9384","1.9384","1.9384"
"62","61","61","61","1.9259","1.9259","1.9259"
"63","62","62","62","1.8984","1.8984","1.8984"
"64","63","63","63","1.8567","1.8567","1.8567"
"65","64","64","64","1.7964","1.7964","1.7964"
"66","65","65","65","1.7272","1.7272","1.7272"
"67","66","66","66","1.6439","1.6439","1.6439"
"68","67","67","67","1.5506","1.5506","1.5506"
"69","68","68","68","1.4563","1.4563","1.4563"
"70","69","69","69","1.3609","1.3609","1.3609"
"71","70","70","70","1.2894","1.2894","1.2894"
"72","71","71","71","1.2329","1.2329","1.2329"
"73","72","72","72","1.1891","1.1891","1.1891"
"74","73","73","73","1.1552","1.1552","1.1552"
"75","74","74","74","1.1319","1.1319","1.1319"
"76","75","75","75","1.1136","1.1136","1.1136"
"77","76","76","76","1.1049","1.1049","1.1049"
"78","77","77","77","1.1014","1.1014","1.1014"
"79","78","78","78","1.1043","1.1043","1.1043"
"80","79","79","79","1.1138","1.1138","1.1138"
"81","80","80","80","1.1265","1.1265","1.1265"
"82","81","81","81","1.1377","1.1377","1.1377"
"83","82","82","82","1.149","1.149","1.149"
"84","83","83","83","1.1598","1.1598","1.1598"
"85","84","84","84","1.1688","1.1688","1.1688"
"86","85","85","85","1.1729","1.1729","1.1729"
"87","86","86","86","1.1728","1.1728","1.1728"
"88","87","87","87","1.1654","1.1654","1.1654"
"89","88","88","88","1.151","1.151","1.151"
"90","89","89","89","1.1277","1.1277","1.1277"
"91","90","90","90","1.0991","1.0991","1.0991"
"92","91","91","91","1.0611","1.0611","1.0611"
"93","92","92","92","1.0162","1.0162","1.0162"
"94","93","93","93","0.9852","0.9852","0.9852"
"95","94","94","94","0.9646","0.9646","0.9646"
"96","95","95","95","0.9499","0.9499","0.9499"
"97","96","96","96","0.9388","0.9388","0.9388"
"98","97","97","97","0.9355","0.9355","0.9355"
"99","98","98","98","0.9328","0.9328","0.9328"
"100","99","99","99","0.9361","0.9361","0.9361"
"101","100","100","100","0.943","0.943","0.943"
"102","101","101","101","1.2423","1.2423","1.2423"
"103","102","102","102","1.3329","1.3329","1.3329"
"104","103","103","103","1.3774","1.3774","1.3774"
"105","104","104","104","1.3993","1.3993","1.3993"
"106","105","105","105","1.4131","1.4131","1.4131"
"107","106","106","106","1.4233","1.4233","1.4233"
"108","107","107","107","1.4275","1.4275","1.4275"
"109","108","108","108","1.4308","1.4308","1.4308"
"110","109","109","109","1.4332","1.4332","1.4332"
"111","110","110","110","1.4345","1.4345","1.4345"
"112","111","111","111","1.4358","1.4358","1.4358"
"113","112","112","112","1.4366","1.4366","1.4366"
"114","113","113","113","1.4368","1.4368","1.4368"
"115","114","114","114","1.4373","1.4373","1.4373"
"116","115","115","115","1.438","1.438","1.438"
"117","116","116","116","1.4379","1.4379","1.4379"
"118","117","117","117","1.438","1.438","1.438"
"119","118","118","118","1.4381","1.4381","1.4381"
"120","119","119","119","1.4384","1.4384","1.4384"
"121","120","120","120","1.4385","1.4385","1.4385"
"122","121","121","121","1.4386","1.4386","1.4386"
"123","122","122","122","1.4387","1.4387","1.4387"
"124","123","123","123","1.4386","1.4386","1.4386"
"125","124","124","124","1.4387","1.4387","1.4387"
"126","125","125","125","1.4386","1.4386","1.4386"
"127","126","126","126","1.4387","1.4387","1.4387"
"128","127","127","127","1.4387","1.4387","1.4387"
"129","128","128","128","1.4387","1.4387","1.4387"
"130","129","129","129","1.4387","1.4387","1.4387"
"131","130","130","130","1.4387","1.4387","1.4387"
"132","131","131","131","1.4387","1.4387","1.4387"
"133","132","132","132","1.4386","1.4386","1.4386"
"134","133","133","133","1.4387","1.4387","1.4387"
"135","134","134","134","1.4387","1.4387","1.4387"
"136","135","135","135","1.4387","1.4387","1.4387"
"137","136","136","136","1.4387","1.4387","1.4387"
"138","137","137","137","1.4387","1.4387","1.4387"
"139","138","138","138","1.4387","1.4387","1.4387"
"140","139","139","139","1.4387","1.4387","1.4387"
"141","140","140","140","1.4387","1.4387","1.4387"
"142","141","141","141","1.4387","1.4387","1.4387"
"143","142","142","142","1.4387","1.4387","1.4387"
"144","143","143","143","1.4387","1.4387","1.4387"
"145","144","144","144","1.4387","1.4387","1.4387"
"146","145","145","145","1.4387","1.4387","1.4387"
"147","146","146","146","1.4387","1.4387","1.4387"
"148","147","147","147","1.4387","1.4387","1.4387"
"149","148","148","148","1.4387","1.4387","1.4387"
"150","149","149","149","1.4388","1.4388","1.4388"
"151","150","150","150","1.4388","1.4388","1.4388"
"152","151","151","151","1.4388","1.4388","1.4388"
"153","152","152","152","1.4388","1.4388","1.4388"
"154","153","153","153","1.4388","1.4388","1.4388"
"155","154","154","154","1.4388","1.4388","1.4388"
"156","155","155","155","1.4388","1.4388","1.4388"
"157","156","156","156","1.4388","1.4388","1.4388"
"158","157","157","157","1.4388","1.4388","1.4388"
"159","158","158","158","1.4388","1.4388","1.4388"
"160","159","159","159","1.4388","1.4388","1.4388"
