"epoch","silver-violet-163 - _step","silver-violet-163 - _step__MIN","silver-violet-163 - _step__MAX","silver-violet-163 - sparsity","silver-violet-163 - sparsity__MIN","silver-violet-163 - sparsity__MAX"
"1","0","0","0","100","100","100"
"2","1","1","1","100","100","100"
"3","2","2","2","89.4702","89.4702","89.4702"
"4","3","3","3","62.2564","62.2564","62.2564"
"5","4","4","4","54.3421","54.3421","54.3421"
"6","5","5","5","51.6822","51.6822","51.6822"
"7","6","6","6","51.2983","51.2983","51.2983"
"8","7","7","7","50.8643","50.8643","50.8643"
"9","8","8","8","49.3028","49.3028","49.3028"
"10","9","9","9","45.951","45.951","45.951"
"11","10","10","10","40.5208","40.5208","40.5208"
"12","11","11","11","33.9962","33.9962","33.9962"
"13","12","12","12","30.2786","30.2786","30.2786"
"14","13","13","13","28.208","28.208","28.208"
"15","14","14","14","27.173","27.173","27.173"
"16","15","15","15","26.7634","26.7634","26.7634"
"17","16","16","16","26.0328","26.0328","26.0328"
"18","17","17","17","24.9928","24.9928","24.9928"
"19","18","18","18","23.4508","23.4508","23.4508"
"20","19","19","19","21.2141","21.2141","21.2141"
"21","20","20","20","18.4264","18.4264","18.4264"
"22","21","21","21","15.4147","15.4147","15.4147"
"23","22","22","22","13.4513","13.4513","13.4513"
"24","23","23","23","12.1606","12.1606","12.1606"
"25","24","24","24","11.3298","11.3298","11.3298"
"26","25","25","25","10.8189","10.8189","10.8189"
"27","26","26","26","10.5293","10.5293","10.5293"
"28","27","27","27","10.3815","10.3815","10.3815"
"29","28","28","28","10.163","10.163","10.163"
"30","29","29","29","9.8896","9.8896","9.8896"
"31","30","30","30","9.5652","9.5652","9.5652"
"32","31","31","31","9.1535","9.1535","9.1535"
"33","32","32","32","8.6189","8.6189","8.6189"
"34","33","33","33","7.9553","7.9553","7.9553"
"35","34","34","34","7.1752","7.1752","7.1752"
"36","35","35","35","6.3239","6.3239","6.3239"
"37","36","36","36","5.4543","5.4543","5.4543"
"38","37","37","37","4.6274","4.6274","4.6274"
"39","38","38","38","4.0388","4.0388","4.0388"
"40","39","39","39","3.6171","3.6171","3.6171"
"41","40","40","40","3.307","3.307","3.307"
"42","41","41","41","3.0742","3.0742","3.0742"
"43","42","42","42","2.9054","2.9054","2.9054"
"44","43","43","43","2.7822","2.7822","2.7822"
"45","44","44","44","2.6927","2.6927","2.6927"
"46","45","45","45","2.6344","2.6344","2.6344"
"47","46","46","46","2.5966","2.5966","2.5966"
"48","47","47","47","2.5774","2.5774","2.5774"
"49","48","48","48","2.5543","2.5543","2.5543"
"50","49","49","49","2.5306","2.5306","2.5306"
"51","50","50","50","2.5085","2.5085","2.5085"
"52","51","51","51","2.4864","2.4864","2.4864"
"53","52","52","52","2.4537","2.4537","2.4537"
"54","53","53","53","2.4144","2.4144","2.4144"
"55","54","54","54","2.3726","2.3726","2.3726"
"56","55","55","55","2.3279","2.3279","2.3279"
"57","56","56","56","2.278","2.278","2.278"
"58","57","57","57","2.2216","2.2216","2.2216"
"59","58","58","58","2.1577","2.1577","2.1577"
"60","59","59","59","2.0789","2.0789","2.0789"
"61","60","60","60","1.9883","1.9883","1.9883"
"62","61","61","61","1.8831","1.8831","1.8831"
"63","62","62","62","1.7651","1.7651","1.7651"
"64","63","63","63","1.6408","1.6408","1.6408"
"65","64","64","64","1.5071","1.5071","1.5071"
"66","65","65","65","1.3969","1.3969","1.3969"
"67","66","66","66","1.3071","1.3071","1.3071"
"68","67","67","67","1.2342","1.2342","1.2342"
"69","68","68","68","1.1728","1.1728","1.1728"
"70","69","69","69","1.1241","1.1241","1.1241"
"71","70","70","70","1.0851","1.0851","1.0851"
"72","71","71","71","1.0547","1.0547","1.0547"
"73","72","72","72","1.032","1.032","1.032"
"74","73","73","73","1.0147","1.0147","1.0147"
"75","74","74","74","1.0035","1.0035","1.0035"
"76","75","75","75","0.9978","0.9978","0.9978"
"77","76","76","76","0.9985","0.9985","0.9985"
"78","77","77","77","1.0026","1.0026","1.0026"
"79","78","78","78","1.0051","1.0051","1.0051"
"80","79","79","79","1.0071","1.0071","1.0071"
"81","80","80","80","1.0092","1.0092","1.0092"
"82","81","81","81","1.0103","1.0103","1.0103"
"83","82","82","82","1.0124","1.0124","1.0124"
"84","83","83","83","1.0141","1.0141","1.0141"
"85","84","84","84","1.0162","1.0162","1.0162"
"86","85","85","85","1.0175","1.0175","1.0175"
"87","86","86","86","1.0193","1.0193","1.0193"
"88","87","87","87","1.021","1.021","1.021"
"89","88","88","88","1.0236","1.0236","1.0236"
"90","89","89","89","1.0258","1.0258","1.0258"
"91","90","90","90","1.0283","1.0283","1.0283"
"92","91","91","91","1.031","1.031","1.031"
"93","92","92","92","1.0329","1.0329","1.0329"
"94","93","93","93","1.0363","1.0363","1.0363"
"95","94","94","94","1.0325","1.0325","1.0325"
"96","95","95","95","1.0273","1.0273","1.0273"
"97","96","96","96","1.0158","1.0158","1.0158"
"98","97","97","97","1.0123","1.0123","1.0123"
"99","98","98","98","1.0053","1.0053","1.0053"
"100","99","99","99","0.9939","0.9939","0.9939"
"101","100","100","100","0.9877","0.9877","0.9877"
"102","101","101","101","1.0529","1.0529","1.0529"
"103","102","102","102","1.0794","1.0794","1.0794"
"104","103","103","103","1.0904","1.0904","1.0904"
"105","104","104","104","1.0967","1.0967","1.0967"
"106","105","105","105","1.1016","1.1016","1.1016"
"107","106","106","106","1.1049","1.1049","1.1049"
"108","107","107","107","1.1066","1.1066","1.1066"
"109","108","108","108","1.1089","1.1089","1.1089"
"110","109","109","109","1.1097","1.1097","1.1097"
"111","110","110","110","1.1107","1.1107","1.1107"
"112","111","111","111","1.1112","1.1112","1.1112"
"113","112","112","112","1.1118","1.1118","1.1118"
"114","113","113","113","1.112","1.112","1.112"
"115","114","114","114","1.1125","1.1125","1.1125"
"116","115","115","115","1.1126","1.1126","1.1126"
"117","116","116","116","1.1128","1.1128","1.1128"
"118","117","117","117","1.113","1.113","1.113"
"119","118","118","118","1.1131","1.1131","1.1131"
"120","119","119","119","1.113","1.113","1.113"
"121","120","120","120","1.1132","1.1132","1.1132"
"122","121","121","121","1.1133","1.1133","1.1133"
"123","122","122","122","1.1132","1.1132","1.1132"
"124","123","123","123","1.1133","1.1133","1.1133"
"125","124","124","124","1.1132","1.1132","1.1132"
"126","125","125","125","1.1133","1.1133","1.1133"
"127","126","126","126","1.1133","1.1133","1.1133"
"128","127","127","127","1.1133","1.1133","1.1133"
"129","128","128","128","1.1134","1.1134","1.1134"
"130","129","129","129","1.1133","1.1133","1.1133"
"131","130","130","130","1.1133","1.1133","1.1133"
"132","131","131","131","1.1133","1.1133","1.1133"
"133","132","132","132","1.1133","1.1133","1.1133"
"134","133","133","133","1.1134","1.1134","1.1134"
"135","134","134","134","1.1133","1.1133","1.1133"
"136","135","135","135","1.1133","1.1133","1.1133"
"137","136","136","136","1.1133","1.1133","1.1133"
"138","137","137","137","1.1134","1.1134","1.1134"
"139","138","138","138","1.1134","1.1134","1.1134"
"140","139","139","139","1.1134","1.1134","1.1134"
"141","140","140","140","1.1134","1.1134","1.1134"
"142","141","141","141","1.1134","1.1134","1.1134"
"143","142","142","142","1.1134","1.1134","1.1134"
"144","143","143","143","1.1134","1.1134","1.1134"
"145","144","144","144","1.1134","1.1134","1.1134"
"146","145","145","145","1.1134","1.1134","1.1134"
"147","146","146","146","1.1134","1.1134","1.1134"
"148","147","147","147","1.1134","1.1134","1.1134"
"149","148","148","148","1.1134","1.1134","1.1134"
"150","149","149","149","1.1134","1.1134","1.1134"
"151","150","150","150","1.1134","1.1134","1.1134"
"152","151","151","151","1.1134","1.1134","1.1134"
"153","152","152","152","1.1134","1.1134","1.1134"
"154","153","153","153","1.1134","1.1134","1.1134"
"155","154","154","154","1.1134","1.1134","1.1134"
"156","155","155","155","1.1134","1.1134","1.1134"
"157","156","156","156","1.1134","1.1134","1.1134"
"158","157","157","157","1.1134","1.1134","1.1134"
"159","158","158","158","1.1134","1.1134","1.1134"
"160","159","159","159","1.1134","1.1134","1.1134"
