"epoch","cosmic-lion-159 - _step","cosmic-lion-159 - _step__MIN","cosmic-lion-159 - _step__MAX","cosmic-lion-159 - sparsity","cosmic-lion-159 - sparsity__MIN","cosmic-lion-159 - sparsity__MAX"
"1","0","0","0","100","100","100"
"2","1","1","1","99.9965","99.9965","99.9965"
"3","2","2","2","75.1536","75.1536","75.1536"
"4","3","3","3","58.2143","58.2143","58.2143"
"5","4","4","4","58.0338","58.0338","58.0338"
"6","5","5","5","58.0727","58.0727","58.0727"
"7","6","6","6","58.0961","58.0961","58.0961"
"8","7","7","7","51.5645","51.5645","51.5645"
"9","8","8","8","40.342","40.342","40.342"
"10","9","9","9","37.6237","37.6237","37.6237"
"11","10","10","10","37.6272","37.6272","37.6272"
"12","11","11","11","37.6552","37.6552","37.6552"
"13","12","12","12","36.1749","36.1749","36.1749"
"14","13","13","13","32.1951","32.1951","32.1951"
"15","14","14","14","26.7812","26.7812","26.7812"
"16","15","15","15","24.5359","24.5359","24.5359"
"17","16","16","16","23.8414","23.8414","23.8414"
"18","17","17","17","22.5154","22.5154","22.5154"
"19","18","18","18","20.5176","20.5176","20.5176"
"20","19","19","19","18.0566","18.0566","18.0566"
"21","20","20","20","16.7188","16.7188","16.7188"
"22","21","21","21","16.0477","16.0477","16.0477"
"23","22","22","22","15.0972","15.0972","15.0972"
"24","23","23","23","13.8731","13.8731","13.8731"
"25","24","24","24","12.4732","12.4732","12.4732"
"26","25","25","25","11.5615","11.5615","11.5615"
"27","26","26","26","11.0452","11.0452","11.0452"
"28","27","27","27","10.4118","10.4118","10.4118"
"29","28","28","28","9.6502","9.6502","9.6502"
"30","29","29","29","8.7777","8.7777","8.7777"
"31","30","30","30","7.8402","7.8402","7.8402"
"32","31","31","31","7.21","7.21","7.21"
"33","32","32","32","6.8041","6.8041","6.8041"
"34","33","33","33","6.5478","6.5478","6.5478"
"35","34","34","34","6.4253","6.4253","6.4253"
"36","35","35","35","6.2422","6.2422","6.2422"
"37","36","36","36","6.0002","6.0002","6.0002"
"38","37","37","37","5.6885","5.6885","5.6885"
"39","38","38","38","5.3193","5.3193","5.3193"
"40","39","39","39","4.9014","4.9014","4.9014"
"41","40","40","40","4.4528","4.4528","4.4528"
"42","41","41","41","3.9945","3.9945","3.9945"
"43","42","42","42","3.6646","3.6646","3.6646"
"44","43","43","43","3.4218","3.4218","3.4218"
"45","44","44","44","3.2529","3.2529","3.2529"
"46","45","45","45","3.1401","3.1401","3.1401"
"47","46","46","46","3.074","3.074","3.074"
"48","47","47","47","3.0383","3.0383","3.0383"
"49","48","48","48","2.9877","2.9877","2.9877"
"50","49","49","49","2.922","2.922","2.922"
"51","50","50","50","2.8324","2.8324","2.8324"
"52","51","51","51","2.7256","2.7256","2.7256"
"53","52","52","52","2.595","2.595","2.595"
"54","53","53","53","2.448","2.448","2.448"
"55","54","54","54","2.2918","2.2918","2.2918"
