"epoch","fancy-oath-28 - _step","fancy-oath-28 - _step__MIN","fancy-oath-28 - _step__MAX","fancy-oath-28 - sparsity","fancy-oath-28 - sparsity__MIN","fancy-oath-28 - sparsity__MAX"
"1","0","0","0","100","100","100"
"2","1","1","1","100","100","100"
"3","2","2","2","96.4579","96.4579","96.4579"
"4","3","3","3","86.2744","86.2744","86.2744"
"5","4","4","4","71.9122","71.9122","71.9122"
"6","5","5","5","55.5254","55.5254","55.5254"
"7","6","6","6","46.4197","46.4197","46.4197"
"8","7","7","7","41.3439","41.3439","41.3439"
"9","8","8","8","38.5951","38.5951","38.5951"
"10","9","9","9","37.2714","37.2714","37.2714"
"11","10","10","10","36.7406","36.7406","36.7406"
"12","11","11","11","35.8641","35.8641","35.8641"
"13","12","12","12","34.6751","34.6751","34.6751"
"14","13","13","13","32.9741","32.9741","32.9741"
"15","14","14","14","30.5724","30.5724","30.5724"
"16","15","15","15","27.562","27.562","27.562"
"17","16","16","16","24.1972","24.1972","24.1972"
"18","17","17","17","20.7857","20.7857","20.7857"
"19","18","18","18","17.5774","17.5774","17.5774"
"20","19","19","19","15.4198","15.4198","15.4198"
"21","20","20","20","13.9167","13.9167","13.9167"
"22","21","21","21","12.8538","12.8538","12.8538"
"23","22","22","22","12.0956","12.0956","12.0956"
"24","23","23","23","11.5531","11.5531","11.5531"
"25","24","24","24","11.1787","11.1787","11.1787"
"26","25","25","25","10.7848","10.7848","10.7848"
"27","26","26","26","10.3708","10.3708","10.3708"
"28","27","27","27","9.9304","9.9304","9.9304"
"29","28","28","28","9.4483","9.4483","9.4483"
"30","29","29","29","8.9349","8.9349","8.9349"
"31","30","30","30","8.3724","8.3724","8.3724"
"32","31","31","31","7.7767","7.7767","7.7767"
"33","32","32","32","7.1549","7.1549","7.1549"
"34","33","33","33","6.523","6.523","6.523"
"35","34","34","34","5.8976","5.8976","5.8976"
"36","35","35","35","5.2931","5.2931","5.2931"
"37","36","36","36","4.7188","4.7188","4.7188"
"38","37","37","37","4.184","4.184","4.184"
"39","38","38","38","3.7685","3.7685","3.7685"
"40","39","39","39","3.4418","3.4418","3.4418"
"41","40","40","40","3.1826","3.1826","3.1826"
"42","41","41","41","2.9734","2.9734","2.9734"
"43","42","42","42","2.8045","2.8045","2.8045"
"44","43","43","43","2.6678","2.6678","2.6678"
"45","44","44","44","2.5559","2.5559","2.5559"
"46","45","45","45","2.4659","2.4659","2.4659"
"47","46","46","46","2.3935","2.3935","2.3935"
"48","47","47","47","2.3353","2.3353","2.3353"
"49","48","48","48","2.2896","2.2896","2.2896"
"50","49","49","49","2.256","2.256","2.256"
"51","50","50","50","2.2165","2.2165","2.2165"
"52","51","51","51","2.1774","2.1774","2.1774"
"53","52","52","52","2.1379","2.1379","2.1379"
"54","53","53","53","2.0967","2.0967","2.0967"
"55","54","54","54","2.054","2.054","2.054"
"56","55","55","55","2.0085","2.0085","2.0085"
"57","56","56","56","1.961","1.961","1.961"
"58","57","57","57","1.9085","1.9085","1.9085"
"59","58","58","58","1.8529","1.8529","1.8529"
"60","59","59","59","1.7939","1.7939","1.7939"
"61","60","60","60","1.7315","1.7315","1.7315"
"62","61","61","61","1.6645","1.6645","1.6645"
"63","62","62","62","1.5936","1.5936","1.5936"
"64","63","63","63","1.5207","1.5207","1.5207"
"65","64","64","64","1.4438","1.4438","1.4438"
"66","65","65","65","1.3663","1.3663","1.3663"
"67","66","66","66","1.2878","1.2878","1.2878"
"68","67","67","67","1.2103","1.2103","1.2103"
"69","68","68","68","1.135","1.135","1.135"
"70","69","69","69","1.0615","1.0615","1.0615"
"71","70","70","70","0.9981","0.9981","0.9981"
"72","71","71","71","0.9439","0.9439","0.9439"
"73","72","72","72","0.8972","0.8972","0.8972"
"74","73","73","73","0.8575","0.8575","0.8575"
"75","74","74","74","0.8228","0.8228","0.8228"
"76","75","75","75","0.793","0.793","0.793"
"77","76","76","76","0.7672","0.7672","0.7672"
"78","77","77","77","0.7453","0.7453","0.7453"
"79","78","78","78","0.7269","0.7269","0.7269"
"80","79","79","79","0.7104","0.7104","0.7104"
"81","80","80","80","0.6983","0.6983","0.6983"
"82","81","81","81","0.6881","0.6881","0.6881"
"83","82","82","82","0.6803","0.6803","0.6803"
"84","83","83","83","0.6752","0.6752","0.6752"
"85","84","84","84","0.6723","0.6723","0.6723"
"86","85","85","85","0.6711","0.6711","0.6711"
"87","86","86","86","0.6726","0.6726","0.6726"
"88","87","87","87","0.6772","0.6772","0.6772"
"89","88","88","88","0.6843","0.6843","0.6843"
"90","89","89","89","0.6934","0.6934","0.6934"
"91","90","90","90","0.7035","0.7035","0.7035"
"92","91","91","91","0.7126","0.7126","0.7126"
"93","92","92","92","0.7204","0.7204","0.7204"
"94","93","93","93","0.7281","0.7281","0.7281"
"95","94","94","94","0.735","0.735","0.735"
"96","95","95","95","0.7413","0.7413","0.7413"
"97","96","96","96","0.7478","0.7478","0.7478"
"98","97","97","97","0.7537","0.7537","0.7537"
"99","98","98","98","0.7593","0.7593","0.7593"
"100","99","99","99","0.7643","0.7643","0.7643"
"101","100","100","100","0.769","0.769","0.769"
"102","101","101","101","0.8093","0.8093","0.8093"
"103","102","102","102","0.8471","0.8471","0.8471"
"104","103","103","103","0.87","0.87","0.87"
"105","104","104","104","0.8875","0.8875","0.8875"
"106","105","105","105","0.9004","0.9004","0.9004"
"107","106","106","106","0.9099","0.9099","0.9099"
"108","107","107","107","0.9184","0.9184","0.9184"
"109","108","108","108","0.9237","0.9237","0.9237"
"110","109","109","109","0.9284","0.9284","0.9284"
"111","110","110","110","0.933","0.933","0.933"
"112","111","111","111","0.9361","0.9361","0.9361"
"113","112","112","112","0.9382","0.9382","0.9382"
"114","113","113","113","0.9411","0.9411","0.9411"
"115","114","114","114","0.9425","0.9425","0.9425"
"116","115","115","115","0.9442","0.9442","0.9442"
"117","116","116","116","0.9456","0.9456","0.9456"
"118","117","117","117","0.9466","0.9466","0.9466"
"119","118","118","118","0.9474","0.9474","0.9474"
"120","119","119","119","0.9483","0.9483","0.9483"
"121","120","120","120","0.949","0.949","0.949"
"122","121","121","121","0.9498","0.9498","0.9498"
"123","122","122","122","0.9501","0.9501","0.9501"
"124","123","123","123","0.9505","0.9505","0.9505"
"125","124","124","124","0.951","0.951","0.951"
"126","125","125","125","0.9515","0.9515","0.9515"
"127","126","126","126","0.9517","0.9517","0.9517"
"128","127","127","127","0.9521","0.9521","0.9521"
"129","128","128","128","0.9523","0.9523","0.9523"
"130","129","129","129","0.9522","0.9522","0.9522"
"131","130","130","130","0.9526","0.9526","0.9526"
"132","131","131","131","0.9527","0.9527","0.9527"
"133","132","132","132","0.9528","0.9528","0.9528"
"134","133","133","133","0.9528","0.9528","0.9528"
"135","134","134","134","0.953","0.953","0.953"
"136","135","135","135","0.9529","0.9529","0.9529"
"137","136","136","136","0.9532","0.9532","0.9532"
"138","137","137","137","0.9532","0.9532","0.9532"
"139","138","138","138","0.9534","0.9534","0.9534"
"140","139","139","139","0.9534","0.9534","0.9534"
"141","140","140","140","0.9534","0.9534","0.9534"
"142","141","141","141","0.9534","0.9534","0.9534"
"143","142","142","142","0.9536","0.9536","0.9536"
"144","143","143","143","0.9535","0.9535","0.9535"
"145","144","144","144","0.9536","0.9536","0.9536"
"146","145","145","145","0.9536","0.9536","0.9536"
"147","146","146","146","0.9536","0.9536","0.9536"
"148","147","147","147","0.9535","0.9535","0.9535"
"149","148","148","148","0.9537","0.9537","0.9537"
"150","149","149","149","0.9537","0.9537","0.9537"
"151","150","150","150","0.9537","0.9537","0.9537"
"152","151","151","151","0.9537","0.9537","0.9537"
"153","152","152","152","0.9537","0.9537","0.9537"
"154","153","153","153","0.9537","0.9537","0.9537"
"155","154","154","154","0.9537","0.9537","0.9537"
"156","155","155","155","0.9537","0.9537","0.9537"
"157","156","156","156","0.9537","0.9537","0.9537"
"158","157","157","157","0.9537","0.9537","0.9537"
"159","158","158","158","0.9537","0.9537","0.9537"
"160","159","159","159","0.9537","0.9537","0.9537"
