"epoch","comfy-valley-27 - _step","comfy-valley-27 - _step__MIN","comfy-valley-27 - _step__MAX","comfy-valley-27 - sparsity","comfy-valley-27 - sparsity__MIN","comfy-valley-27 - sparsity__MAX"
"1","0","0","0","100","100","100"
"2","1","1","1","100","100","100"
"3","2","2","2","96.6225","96.6225","96.6225"
"4","3","3","3","86.5598","86.5598","86.5598"
"5","4","4","4","72.0892","72.0892","72.0892"
"6","5","5","5","55.6153","55.6153","55.6153"
"7","6","6","6","41.3655","41.3655","41.3655"
"8","7","7","7","33.9633","33.9633","33.9633"
"9","8","8","8","29.8268","29.8268","29.8268"
"10","9","9","9","27.4212","27.4212","27.4212"
"11","10","10","10","26.0299","26.0299","26.0299"
"12","11","11","11","25.2782","25.2782","25.2782"
"13","12","12","12","24.9133","24.9133","24.9133"
"14","13","13","13","24.5136","24.5136","24.5136"
"15","14","14","14","23.9728","23.9728","23.9728"
"16","15","15","15","23.3337","23.3337","23.3337"
"17","16","16","16","22.5428","22.5428","22.5428"
"18","17","17","17","21.499","21.499","21.499"
"19","18","18","18","20.1388","20.1388","20.1388"
"20","19","19","19","18.4921","18.4921","18.4921"
"21","20","20","20","16.6287","16.6287","16.6287"
"22","21","21","21","14.6556","14.6556","14.6556"
"23","22","22","22","12.7074","12.7074","12.7074"
"24","23","23","23","10.8678","10.8678","10.8678"
"25","24","24","24","9.213","9.213","9.213"
"26","25","25","25","7.7658","7.7658","7.7658"
"27","26","26","26","6.5297","6.5297","6.5297"
"28","27","27","27","5.657","5.657","5.657"
"29","28","28","28","5.0252","5.0252","5.0252"
"30","29","29","29","4.5539","4.5539","4.5539"
"31","30","30","30","4.193","4.193","4.193"
"32","31","31","31","3.9114","3.9114","3.9114"
"33","32","32","32","3.691","3.691","3.691"
"34","33","33","33","3.5181","3.5181","3.5181"
"35","34","34","34","3.381","3.381","3.381"
"36","35","35","35","3.274","3.274","3.274"
"37","36","36","36","3.1657","3.1657","3.1657"
"38","37","37","37","3.0629","3.0629","3.0629"
"39","38","38","38","2.959","2.959","2.959"
"40","39","39","39","2.8534","2.8534","2.8534"
"41","40","40","40","2.7476","2.7476","2.7476"
"42","41","41","41","2.638","2.638","2.638"
"43","42","42","42","2.5263","2.5263","2.5263"
"44","43","43","43","2.4104","2.4104","2.4104"
"45","44","44","44","2.2898","2.2898","2.2898"
"46","45","45","45","2.1685","2.1685","2.1685"
"47","46","46","46","2.045","2.045","2.045"
"48","47","47","47","1.9206","1.9206","1.9206"
"49","48","48","48","1.7968","1.7968","1.7968"
"50","49","49","49","1.6745","1.6745","1.6745"
"51","50","50","50","1.5552","1.5552","1.5552"
"52","51","51","51","1.4398","1.4398","1.4398"
"53","52","52","52","1.3293","1.3293","1.3293"
"54","53","53","53","1.2238","1.2238","1.2238"
"55","54","54","54","1.1246","1.1246","1.1246"
"56","55","55","55","1.0318","1.0318","1.0318"
"57","56","56","56","0.9442","0.9442","0.9442"
"58","57","57","57","0.8633","0.8633","0.8633"
"59","58","58","58","0.7891","0.7891","0.7891"
"60","59","59","59","0.7272","0.7272","0.7272"
"61","60","60","60","0.6751","0.6751","0.6751"
"62","61","61","61","0.6304","0.6304","0.6304"
"63","62","62","62","0.5936","0.5936","0.5936"
"64","63","63","63","0.5619","0.5619","0.5619"
"65","64","64","64","0.5335","0.5335","0.5335"
"66","65","65","65","0.509","0.509","0.509"
"67","66","66","66","0.488","0.488","0.488"
"68","67","67","67","0.4698","0.4698","0.4698"
"69","68","68","68","0.4537","0.4537","0.4537"
"70","69","69","69","0.44","0.44","0.44"
"71","70","70","70","0.428","0.428","0.428"
"72","71","71","71","0.4184","0.4184","0.4184"
"73","72","72","72","0.4094","0.4094","0.4094"
"74","73","73","73","0.4031","0.4031","0.4031"
"75","74","74","74","0.3974","0.3974","0.3974"
"76","75","75","75","0.3926","0.3926","0.3926"
"77","76","76","76","0.3898","0.3898","0.3898"
"78","77","77","77","0.388","0.388","0.388"
"79","78","78","78","0.3873","0.3873","0.3873"
"80","79","79","79","0.389","0.389","0.389"
"81","80","80","80","0.3903","0.3903","0.3903"
"82","81","81","81","0.3945","0.3945","0.3945"
"83","82","82","82","0.3989","0.3989","0.3989"
"84","83","83","83","0.4046","0.4046","0.4046"
"85","84","84","84","0.4093","0.4093","0.4093"
"86","85","85","85","0.4134","0.4134","0.4134"
"87","86","86","86","0.4167","0.4167","0.4167"
"88","87","87","87","0.4208","0.4208","0.4208"
"89","88","88","88","0.4241","0.4241","0.4241"
"90","89","89","89","0.4273","0.4273","0.4273"
"91","90","90","90","0.4296","0.4296","0.4296"
"92","91","91","91","0.4318","0.4318","0.4318"
"93","92","92","92","0.4333","0.4333","0.4333"
"94","93","93","93","0.4341","0.4341","0.4341"
"95","94","94","94","0.4339","0.4339","0.4339"
"96","95","95","95","0.434","0.434","0.434"
"97","96","96","96","0.4327","0.4327","0.4327"
"98","97","97","97","0.4311","0.4311","0.4311"
"99","98","98","98","0.4285","0.4285","0.4285"
"100","99","99","99","0.4248","0.4248","0.4248"
"101","100","100","100","0.42","0.42","0.42"
"102","101","101","101","0.4389","0.4389","0.4389"
"103","102","102","102","0.455","0.455","0.455"
"104","103","103","103","0.4668","0.4668","0.4668"
"105","104","104","104","0.4748","0.4748","0.4748"
"106","105","105","105","0.482","0.482","0.482"
"107","106","106","106","0.487","0.487","0.487"
"108","107","107","107","0.4908","0.4908","0.4908"
"109","108","108","108","0.4939","0.4939","0.4939"
"110","109","109","109","0.4964","0.4964","0.4964"
"111","110","110","110","0.4989","0.4989","0.4989"
"112","111","111","111","0.5004","0.5004","0.5004"
"113","112","112","112","0.502","0.502","0.502"
"114","113","113","113","0.5034","0.5034","0.5034"
"115","114","114","114","0.5043","0.5043","0.5043"
"116","115","115","115","0.5052","0.5052","0.5052"
"117","116","116","116","0.5057","0.5057","0.5057"
"118","117","117","117","0.5065","0.5065","0.5065"
"119","118","118","118","0.5071","0.5071","0.5071"
"120","119","119","119","0.5074","0.5074","0.5074"
"121","120","120","120","0.508","0.508","0.508"
"122","121","121","121","0.5085","0.5085","0.5085"
"123","122","122","122","0.5085","0.5085","0.5085"
"124","123","123","123","0.5088","0.5088","0.5088"
"125","124","124","124","0.5088","0.5088","0.5088"
"126","125","125","125","0.5091","0.5091","0.5091"
"127","126","126","126","0.5092","0.5092","0.5092"
"128","127","127","127","0.5093","0.5093","0.5093"
"129","128","128","128","0.5092","0.5092","0.5092"
"130","129","129","129","0.5094","0.5094","0.5094"
"131","130","130","130","0.5096","0.5096","0.5096"
"132","131","131","131","0.5096","0.5096","0.5096"
"133","132","132","132","0.5096","0.5096","0.5096"
"134","133","133","133","0.5097","0.5097","0.5097"
"135","134","134","134","0.5098","0.5098","0.5098"
"136","135","135","135","0.5098","0.5098","0.5098"
"137","136","136","136","0.5098","0.5098","0.5098"
"138","137","137","137","0.5099","0.5099","0.5099"
"139","138","138","138","0.5099","0.5099","0.5099"
"140","139","139","139","0.5099","0.5099","0.5099"
"141","140","140","140","0.5099","0.5099","0.5099"
"142","141","141","141","0.5099","0.5099","0.5099"
"143","142","142","142","0.51","0.51","0.51"
"144","143","143","143","0.51","0.51","0.51"
"145","144","144","144","0.51","0.51","0.51"
"146","145","145","145","0.51","0.51","0.51"
"147","146","146","146","0.51","0.51","0.51"
"148","147","147","147","0.51","0.51","0.51"
"149","148","148","148","0.51","0.51","0.51"
"150","149","149","149","0.5101","0.5101","0.5101"
"151","150","150","150","0.5101","0.5101","0.5101"
"152","151","151","151","0.5101","0.5101","0.5101"
"153","152","152","152","0.5101","0.5101","0.5101"
"154","153","153","153","0.5101","0.5101","0.5101"
"155","154","154","154","0.5101","0.5101","0.5101"
"156","155","155","155","0.5101","0.5101","0.5101"
"157","156","156","156","0.5101","0.5101","0.5101"
